Company,Product_Code,Product_Name,Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Source_Text,Extracted_Date
KEI,KEI-EVC-35.0-1C,EV Charging Cable 35.0 Sq mm PVC 1100V - 2c x 35 sq.mm + 1c x 25 sq.mm + 3 x (2 x 0.75 sq.mm) 1 1.9 29.7 1275,EV Charging Cable,Cable,1100V,Annealed Copper,35.0,1.0,Class 1,PVC,3.4,Unarmoured,10.06,373,IS 1554,70,630,233.62,21026.25,23362.5,42052.5,3000,3000,150000,85446000,20,PDF Extracted,2c x 35 sq.mm + 1c x 25 sq.mm + 3 x (2 x 0.75 sq.mm) 1 1.9 29.7 1275,2025-12-07
KEI,KEI-EVC-35.0-1C,EV Charging Cable 35.0 Sq mm PVC 1100V - 2c x 50 sq.mm + 1c x 25 sq.mm + 3 x (2 x 0.75 sq.mm) 1.1 2.2 34.8 1600,EV Charging Cable,Cable,1100V,Annealed Copper,35.0,1.0,Class 1,PVC,3.4,Unarmoured,10.06,373,IS 1554,70,630,233.62,21026.25,23362.5,42052.5,3000,3000,150000,85446000,20,PDF Extracted,2c x 50 sq.mm + 1c x 25 sq.mm + 3 x (2 x 0.75 sq.mm) 1.1 2.2 34.8 1600,2025-12-07
KEI,KEI-EVC-50.0-1C,EV Charging Cable 50.0 Sq mm PVC 1100V - 2c x 70 sq.mm + 1c x 35 sq.mm + 3 x (2 x 0.75 sq.mm) 1.2 2.5 40.7 2150,EV Charging Cable,Cable,1100V,Annealed Copper,50.0,1.0,Class 1,PVC,4.6,Unarmoured,12.02,534,IS 1554,70,900,333.75,30037.5,33375.0,60075.0,3000,3000,150000,85446000,20,PDF Extracted,2c x 70 sq.mm + 1c x 35 sq.mm + 3 x (2 x 0.75 sq.mm) 1.2 2.5 40.7 2150,2025-12-07
KEI,KEI-EVC-70.0-1C,EV Charging Cable 70.0 Sq mm PVC 1100V - 2c x 70 sq.mm + 1c x 35 sq.mm + 6 x 0.75 sq.mm 1.2 2.5 40.7 2150,EV Charging Cable,Cable,1100V,Annealed Copper,70.0,1.0,Class 1,PVC,6.2,Unarmoured,14.22,747,IS 1554,70,1260,467.25,42052.5,46725.0,84105.0,3000,3000,150000,85446000,20,PDF Extracted,2c x 70 sq.mm + 1c x 35 sq.mm + 6 x 0.75 sq.mm 1.2 2.5 40.7 2150,2025-12-07
KEI,KEI-EVC-70.0-1C,EV Charging Cable 70.0 Sq mm PVC 1100V - 2c x 95 sq.mm + 1c x 50 sq.mm + 3 x (2 x 0.75 sq.mm) 1.2 2.7 45.1 2400,EV Charging Cable,Cable,1100V,Annealed Copper,70.0,1.0,Class 1,PVC,6.2,Unarmoured,14.22,747,IS 1554,70,1260,467.25,42052.5,46725.0,84105.0,3000,3000,150000,85446000,20,PDF Extracted,2c x 95 sq.mm + 1c x 50 sq.mm + 3 x (2 x 0.75 sq.mm) 1.2 2.7 45.1 2400,2025-12-07
KEI,KEI-EVC-95.0-1C,EV Charging Cable 95.0 Sq mm PVC 1100V - 5c x 50 sq.mm + 6 x 1.5 sq.mm 1.1 2.2 36.4 3065,EV Charging Cable,Cable,1100V,Annealed Copper,95.0,1.0,Class 1,PVC,8.2,Unarmoured,16.57,1014,IS 1554,70,1710,634.12,57071.25,63412.5,114142.5,3000,3000,150000,85446000,20,PDF Extracted,5c x 50 sq.mm + 6 x 1.5 sq.mm 1.1 2.2 36.4 3065,2025-12-07
KEI,KEI-EVC-35.0-1C,EV Charging Cable 35.0 Sq mm PVC 1100V - 2c x 35 sq.mm + 1c x 25 sq.mm + 3 x (2 x 0.75 sq.mm),EV Charging Cable,Cable,1100V,Annealed Copper,35.0,1.0,Class 1,PVC,3.4,Unarmoured,10.06,373,IS 1554,70,350,233.62,21026.25,23362.5,42052.5,3000,3000,150000,85446000,20,PDF Extracted,2c x 35 sq.mm + 1c x 25 sq.mm + 3 x (2 x 0.75 sq.mm),2025-12-07
KEI,KEI-EVC-35.0-1C,EV Charging Cable 35.0 Sq mm PVC 1100V - 2c x 50 sq.mm + 1c x 25 sq.mm + 3 x (2 x 0.75 sq.mm),EV Charging Cable,Cable,1100V,Annealed Copper,35.0,1.0,Class 1,PVC,3.4,Unarmoured,10.06,373,IS 1554,70,630,233.62,21026.25,23362.5,42052.5,3000,3000,150000,85446000,20,PDF Extracted,2c x 50 sq.mm + 1c x 25 sq.mm + 3 x (2 x 0.75 sq.mm),2025-12-07
KEI,KEI-EVC-50.0-1C,EV Charging Cable 50.0 Sq mm PVC 1100V - 2c x 70 sq.mm + 1c x 35 sq.mm + 3 x (2 x 0.75 sq.mm),EV Charging Cable,Cable,1100V,Annealed Copper,50.0,1.0,Class 1,PVC,4.6,Unarmoured,12.02,534,IS 1554,70,900,333.75,30037.5,33375.0,60075.0,3000,3000,150000,85446000,20,PDF Extracted,2c x 70 sq.mm + 1c x 35 sq.mm + 3 x (2 x 0.75 sq.mm),2025-12-07
KEI,KEI-EVC-70.0-1C,EV Charging Cable 70.0 Sq mm PVC 1100V - 2c x 70 sq.mm + 1c x 35 sq.mm + 3 x (2 x 0.75 sq.mm),EV Charging Cable,Cable,1100V,Annealed Copper,70.0,1.0,Class 1,PVC,6.2,Unarmoured,14.22,747,IS 1554,70,1260,467.25,42052.5,46725.0,84105.0,3000,3000,150000,85446000,20,PDF Extracted,2c x 70 sq.mm + 1c x 35 sq.mm + 3 x (2 x 0.75 sq.mm),2025-12-07
KEI,KEI-EVC-70.0-1C,EV Charging Cable 70.0 Sq mm PVC 1100V - 2c x 70 sq.mm + 1c x 35 sq.mm + 2 x 0.75 sq.mm(P2) + 2x (2 x 0.75sq.mm),EV Charging Cable,Cable,1100V,Annealed Copper,70.0,1.0,Class 1,PVC,6.2,Unarmoured,14.22,747,IS 1554,70,1260,467.25,42052.5,46725.0,84105.0,3000,3000,150000,85446000,20,PDF Extracted,2c x 70 sq.mm + 1c x 35 sq.mm + 2 x 0.75 sq.mm(P2) + 2x (2 x 0.75sq.mm),2025-12-07
KEI,KEI-EVC-70.0-1C,EV Charging Cable 70.0 Sq mm PVC 1100V - 2c x 70 sq.mm + 1c x 35 sq.mm + 2 x 0.75 sq.mm(P2) + 2x (2 x 0.75sq.mm),EV Charging Cable,Cable,1100V,Annealed Copper,70.0,1.0,Class 1,PVC,6.2,Unarmoured,14.22,747,IS 1554,70,125,467.25,42052.5,46725.0,84105.0,3000,3000,150000,85446000,20,PDF Extracted,2c x 70 sq.mm + 1c x 35 sq.mm + 2 x 0.75 sq.mm(P2) + 2x (2 x 0.75sq.mm),2025-12-07
KEI,KEI-EVC-2.5-1C,EV Charging Cable 2.5 Sq mm PVC 1100V - 3c x 2.5 sq.mm + 1c x 0.5 sq.mm,EV Charging Cable,Cable,1100V,Annealed Copper,2.5,1.0,Class 1,PVC,0.8,Unarmoured,2.69,26,IS 1554,70,2,16.69,1501.88,1668.75,3003.75,3000,3000,150000,85446000,20,PDF Extracted,3c x 2.5 sq.mm + 1c x 0.5 sq.mm,2025-12-07
KEI,KEI-EVC-2.5-1C,EV Charging Cable 2.5 Sq mm PVC 1100V - 5c x 2.5 sq.mm + 1c x 0.5 sq.mm,EV Charging Cable,Cable,1100V,Annealed Copper,2.5,1.0,Class 1,PVC,0.8,Unarmoured,2.69,26,IS 1554,70,45,16.69,1501.88,1668.75,3003.75,3000,3000,150000,85446000,20,PDF Extracted,5c x 2.5 sq.mm + 1c x 0.5 sq.mm,2025-12-07
KEI,KEI-EVC-2.5-1C,EV Charging Cable 2.5 Sq mm PVC 1100V - 3c x 6 sq.mm + 1c x 0.5 sq.mm,EV Charging Cable,Cable,1100V,Annealed Copper,2.5,1.0,Class 1,PVC,0.8,Unarmoured,2.69,26,IS 1554,70,45,16.69,1501.88,1668.75,3003.75,3000,3000,150000,85446000,20,PDF Extracted,3c x 6 sq.mm + 1c x 0.5 sq.mm,2025-12-07
KEI,KEI-EVC-6.0-1C,EV Charging Cable 6.0 Sq mm PVC 1100V - 5c x 6 sq.mm + 1c x 0.5 sq.mm,EV Charging Cable,Cable,1100V,Annealed Copper,6.0,1.0,Class 1,PVC,1.08,Unarmoured,4.16,64,IS 1554,70,16,40.05,3604.5,4005.0,7209.0,3000,3000,150000,85446000,20,PDF Extracted,5c x 6 sq.mm + 1c x 0.5 sq.mm,2025-12-07
